Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
Partial Area Anästhesiologie und Intensivmedizin,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Biomedizinische Technik,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Biostatistik,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Klinische Chemie,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Chirurgie,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Dermatologie,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Medizinische Genetik,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Geschichte der Medizin,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
"Partial Area Gynäkologie, Geburtshilfe und Neonatologie",,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Hausärztliche Medizin,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Innere Medizin,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Kinderheilkunde und Kinderchirurgie,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
"Partial Area Medizinische Mikrobiologie, Immunologie, Parasitologie und Virologie",,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Naturheilkunde,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Neurochirurgie und Neurologie,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Orthopädie,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Otorhinolaryngologie,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Pathologie,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Pharmakologie und Toxikologie,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
"Partial Area Psychiatrie, Kinder- und Jugendpsychiatrie",,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Psychosoziale Medizin,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Medizinische Radiologie,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Rechtsmedizin,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Rheumatologie und Physikalische Medizin,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Sozial- und Präventivmedizin,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Major Comparative and International Studies,English,,Center for Comperative and International Studies,,,Master of Arts in Comparative and International Studies (ETH UZH)
Doctoral Program Banking and Finance,English,,"Faculty of Business, Economics and Informatics",Steven Ongena,Sarah Elisabeth Wikus,"Doctorate Business and Economics (C, PVO13)"
Area DOEC13C: Compulsory modules in Banking and Finance (Track C),,,"Faculty of Business, Economics and Informatics",,,Banking and Finance;Banking and Finance (Fast Track)
"Area DOEC13BC: Core elective area in Banking and Finance (Tracks B, C)",,,"Faculty of Business, Economics and Informatics",,,Banking and Finance;Banking and Finance;Banking and Finance (Fast Track)
Doctoral Program Management and Economics,English,,"Faculty of Business, Economics and Informatics",Ulrich Kaiser,Falko Zapf,"Doctorate Business and Economics (C, PVO13)"
Area DOEC13C: Compulsory modules in Management and Economics (Track C),,,"Faculty of Business, Economics and Informatics",,,Management and Economics;Management and Economics (Fast Track)
"Area DOEC13BC: Core elective area in Management and Economics (Tracks B, C)",,,"Faculty of Business, Economics and Informatics",,,Management and Economics;Management and Economics;Management and Economics (Fast Track)
Doctoral Program Business Administration,English,,"Faculty of Business, Economics and Informatics",Robert F. Göx,Falko Zapf,"Doctorate Business and Economics (C, PVO13)"
Area DOEC13C: Compulsory modules in Business Administration (Track C),,,"Faculty of Business, Economics and Informatics",,,Business Administration;Betriebswirtschaftslehre (Fast Track)
"Area DOEC13BC: Wahlpflichtbereich Betriebswirtschaft (Track B, C)",,,"Faculty of Business, Economics and Informatics",,,Business Administration;Business Administration;Betriebswirtschaftslehre (Fast Track)
Doctoral Program Economics,English,,"Faculty of Business, Economics and Informatics",Roberto A. Weber,Mirjam Britschgi,"Doctorate Business and Economics (C, PVO13)"
Area DOEC13C: Compulsory modules in Economics (Track C),,,"Faculty of Business, Economics and Informatics",,,Economics;Volkswirtschaftslehre (Fast Track)
"Area DOEC13BC: Core elective area in Economics (Tracks B, C)",,,"Faculty of Business, Economics and Informatics",,,Economics;Economics;Volkswirtschaftslehre (Fast Track)
Area DOEC13B: Compulsory modules in Economics (Track B),,,"Faculty of Business, Economics and Informatics",,,Economics
Doctoral Program Economics,English,,"Faculty of Business, Economics and Informatics",Roberto A. Weber,Mirjam Britschgi,"Doctorate Business and Economics (B, PVO13)"
Area DOEC13B: Compulsory modules in Management and Economics (Track B),,,"Faculty of Business, Economics and Informatics",,,Management and Economics
Doctoral Program Management and Economics,English,,"Faculty of Business, Economics and Informatics",Ulrich Kaiser,Falko Zapf,"Doctorate Business and Economics (B, PVO13)"
Area DOEC13B: Compulsory modules in Business Administration (Track B),,,"Faculty of Business, Economics and Informatics",,,Business Administration
Doctoral Program Business Administration,English,,"Faculty of Business, Economics and Informatics",Robert F. Göx,Falko Zapf,"Doctorate Business and Economics (B, PVO13)"
Area DOEC13B: Compulsory modules in Banking and Finance (Track B),,,"Faculty of Business, Economics and Informatics",,,Banking and Finance
Doctoral Program Banking and Finance,English,,"Faculty of Business, Economics and Informatics",Steven Ongena,Sarah Elisabeth Wikus,"Doctorate Business and Economics (B, PVO13)"
Area DOEC13A: Core elective area in Management and Economics (Track A),,,"Faculty of Business, Economics and Informatics",,,Management and Economics
Doctoral Program Management and Economics,English,,"Faculty of Business, Economics and Informatics",Ulrich Kaiser,Falko Zapf,"Doctorate Business and Economics (A, PVO13)"
Doctoral Program Banking and Finance,English,,"Faculty of Business, Economics and Informatics",Steven Ongena,Sarah Elisabeth Wikus,"Doctorate Business and Economics (A, PVO13)"
Area DOEC13A: Core elective area in Banking and Finance (Track A),,,"Faculty of Business, Economics and Informatics",,,Banking and Finance
Doctoral Program Business Administration,English,,"Faculty of Business, Economics and Informatics",Robert F. Göx,Falko Zapf,"Doctorate Business and Economics (A, PVO13)"
Area DOEC13A: Core elective area in Business Administration (Track A),,,"Faculty of Business, Economics and Informatics",,,Business Administration
Doctoral Program Economics,English,,"Faculty of Business, Economics and Informatics",Roberto A. Weber,Mirjam Britschgi,"Doctorate Business and Economics (A, PVO13)"
Area DOEC13A: Wahlpflichtbereich Volkswirtschaftslehre (Track A),,,"Faculty of Business, Economics and Informatics",,,Economics
Individual Doctorate Study of Religions,German,,Faculty of Theology and the Study of Religion,Christoph Uehlinger,,Doctorate Faculty of Theology and the Study of Religion (2010)
Doctoral Program Study of Religions,German,,Faculty of Theology and the Study of Religion,Christoph Uehlinger,,Doctorate Faculty of Theology and the Study of Religion (2010)
Individual Doctorate Theology,German,,Faculty of Theology and the Study of Religion,,,Doctorate Faculty of Theology and the Study of Religion (2010)
Doctoral Program Theology,German,,Faculty of Theology and the Study of Religion,,,Doctorate Faculty of Theology and the Study of Religion (2010)
Individual Doctorate Law,German,http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Felix Bommer,,Doctorate Faculty of Law (PVO09)
Doctoral Program Law,German,http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Felix Bommer,,Doctorate Faculty of Law (PVO09)
Doctoral Program Biomedical Ethics and Law,German,http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Brigitte Tag,,Doctorate Faculty of Law (PVO09)
Individual Doctorate Study of Religions,German,,Faculty of Theology and the Study of Religion,,,Doctorate Fac. of Theol. and Study of Rel. and Fac. Arts and Social Sc.
Doctoral Program Study of Religions,German,,Faculty of Theology and the Study of Religion,,,Doctorate Fac. of Theol. and Study of Rel. and Fac. Arts and Social Sc.
Doctoral Program Mathematics,English,,Faculty of Science,Benjamin Schlein,Jessica Bolsinger,Doctorate Faculty of Science
Doctoral Program Physics,English,,Faculty of Science,Gino Isidori,Denise Verena Caneve,Doctorate Faculty of Science
Doctoral Program Chemical and Molecular Sciences,English,,Faculty of Science,Felix Hubertus Zelder,Sabine Stockhause,Doctorate Faculty of Science
Doctoral Program Biomolecular Structure and Mechanism,English,,Faculty of Science,Martin Jinek,Judita Tillova,Doctorate Faculty of Science
Doctoral Program Cancer Biology,English,,Faculty of Science,Maries van den Broek,Bettina Rausch-Malina,Doctorate Faculty of Science
Doctoral Program Ecology,English,,Faculty of Science,Jordi Bascompte,Debra Zuppinger-Dingley,Doctorate Faculty of Science
Doctoral Program Evolutionary Biology,English,,Faculty of Science,Kentaro Shimizu,Anton Weingrill,Doctorate Faculty of Science
Doctoral Program Microbiology and Immunology,English,,Faculty of Science,Leo Eberl,Judith Zingg,Doctorate Faculty of Science
Doctoral Program Molecular Life Sciences,English,,Faculty of Science,Ohad Medalia,Susanna Bachmann,Doctorate Faculty of Science
Doctoral Program Neuroscience,English,,Faculty of Science,Wolfgang Knecht,Heidi Gauss,Doctorate Faculty of Science
Doctoral Program Science and Policy,English,,Faculty of Science,Ueli Grossniklaus,Luisa Maria Sophie Last,Doctorate Faculty of Science
Doctoral Program Plant Sciences,English,,Faculty of Science,Samuel C. Zeeman,Melanie Paschke,Doctorate Faculty of Science
Doctoral Program Systems Biology,English,,Faculty of Science,Joerg Stelling,Andrea Huber Brösamie,Doctorate Faculty of Science
Doctoral Program Geography &amp; Earth System Science,"English, German",,Faculty of Science,Ross Stuart Purves,Isabelle Gärtner,Doctorate Faculty of Science
Area DNOEC10: Compulsory program in Neuroeconomics,,,"Faculty of Business, Economics and Informatics",,,Neuroeconomics
Partial Area Schreibdidaktik für die Masterarbeit,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Doctoral Program Epidemiology and Biostatistics,English,,Faculty of Science,Milo Alan Puhan,Marco Kaufmann,Doctorate Faculty of Science
Partial Area Clinical Skills Training,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Major 90 Neural Systems and Computation,English,,Faculty of Science,Mehmet Fatih Yanik,Daniel Ch. Kiper,Joint Degree Master of Science UZH ETH in Neural Systems and Computation
Doctoral Program Computational Science,English,,Faculty of Science,Robert Feldmann,Elzbieta Joanna Rembelska,Doctorate Faculty of Science
Area Longitudinal - Vorlesungen 3. StJ Master,,,Humanmedizin,,,3rd year of studies Medicine
Area Blockkurse (nur HS) 3. StJ Master,,,Humanmedizin,,,3rd year of studies Medicine
"Area Workshops ""Ärztliche Rollen"" (nur HS) 3. StJ Master",,,Humanmedizin,,,3rd year of studies Medicine
Area Studentische Repetitoriumswoche (nur FS) 3. StJ Master,,,Humanmedizin,,,3rd year of studies Medicine
Area Courses of the Graduate School,,,Faculty of Science,,,Chemical and Molecular Sciences
Area Special lectures,,,Faculty of Science,,,Chemical and Molecular Sciences
Area Seminars (discipline specific),,,Faculty of Science,,,Chemical and Molecular Sciences
Area Seminars (working groups),,,Faculty of Science,,,Chemical and Molecular Sciences
Area More options,,,Faculty of Science,,,Chemical and Molecular Sciences
Doctoral Program Neuroeconomics,English,,"Faculty of Business, Economics and Informatics",Todd Anthony Hare,Mirjam Britschgi,Doctorate Neuroeconomics (PVO10)
Doctoral Program Informatics (fast track),"German, English",,"Faculty of Business, Economics and Informatics",Thomas Fritz,Karin Manuela Sigg,Doctorate Informatics (PVO08)
Doctoral Program Informatics,English,,"Faculty of Business, Economics and Informatics",Thomas Fritz,Karin Manuela Sigg,Doctorate Informatics (PVO08)
Individual Doctorate Medicine,German,,Humanmedizin,,,Doctorate Faculty of Medicine
Individual Doctorate Dental Medicine,German,,Center of Dental Medicine,,,Doctorate Faculty of Medicine
Individual Doctorate Chiropractic Medicine,German,,Humanmedizin,,,Doctorate Faculty of Medicine
Individual Doctorate Veterinary Medicine,"German, English",http://www.vet.uzh.ch/en/studium/doktorat/Drmedvet.html,Vetsuisse Faculty,Thomas Lutz,Thomas Lutz,Doctorate Veterinary Medicine
Doctoral Program Veterinary Medicine Science,English,https://www.vet.uzh.ch/en/studium/doktorat/phd.html,Vetsuisse Faculty,Thomas Lutz,Thomas Lutz,PhD of Veterinary Medicine
Area Elective Modules PhD,,,Vetsuisse Faculty,,,Veterinary Medicine Science
Area Elective Modules Doctorate,,,Vetsuisse Faculty,,,Veterinary Medicine;Veterinary Medicine
Area Brazilian Portuguese,,,Language Center of UZH and ETH Zurich,,,Language Center of UZH and ETH Zurich
Area Compulsory modules Earth System Science,,,Faculty of Science,,,Earth System Science;Earth System Science
Area Elective Modules Earth System Science,,,Faculty of Science,,,Earth System Science;Earth System Science
Area Compulsory modules Biochemistry,,,Faculty of Science,,,Biochemistry;Biochemistry
Area Core elective modules Biochemistry,,,Faculty of Science,,,Biochemistry;Biochemistry
Area Elective modules Biochemistry,,,Faculty of Science,,,Biochemistry;Biochemistry
Area Compulsory modules Anthropology,,,Faculty of Science,,,Anthropology;Anthropology
"Area Core elective modules, Biology area 2",,,Faculty of Science,,,Biomedicine;Anthropology;Animal Behaviour;Cancer Biology;Ecology;Genetics and Development
"Area Core elective modules, Biology area 3",,,Faculty of Science,,,Biology;Biology;Biomedicine;Anthropology;Animal Behaviour;Cancer Biology
Area Seminars and colloquia,,,Faculty of Science,,,Biomedicine;Anthropology;Animal Behaviour;Cancer Biology;Ecology;Genetics and Development
Area Compulsory modules Ecology,,,Faculty of Science,,,Ecology;Ecology
Area Compulsory modules Genetics,,,Faculty of Science,,,Genetics and Development;Genetics and Development
Area Compulsory modules Immunology,,,Faculty of Science,,,Immunology;Immunology
Area Compulsory modules Microbiology,,,Faculty of Science,,,Microbiology;Microbiology
Area Compulsory modules Molecular and Cellular Biology,,,Faculty of Science,,,Molecular and Cellular Biology;Molecular and Cellular Biology
Area Compulsory modules Neurosciences,,,Faculty of Science,,,Neurosciences;Neurosciences
Area Compulsory modules Paleontology,,,Faculty of Science,,,Paleontology;Paleontology
Area Compulsory modules Plant Sciences,,,Faculty of Science,,,Plant Sciences;Plant Sciences
Area Compulsory modules Quantitative Biology &amp; Systemsbiology,,,Faculty of Science,,,Quantitative Biology and Systems Biology;Quantitative Biology and Systems Biology
Area Compulsory modules Systematics and Evolution,,,Faculty of Science,,,Systematics and Evolution;Systematics and Evolution
Area Compulsory modules Virology,,,Faculty of Science,,,Virology;Virology
Area Compulsory modules Animal Behaviour,,,Faculty of Science,,,Animal Behaviour;Animal Behaviour
Area Compulsory modules Cancer Biology,,,Faculty of Science,,,Cancer Biology;Cancer Biology
Area Compulsory modules Chemistry,,,Faculty of Science,,,Chemistry;Chemistry
Area Core elective modules Chemistry,,,Faculty of Science,,,Chemistry;Chemistry
Area Suggestions for elective modules Chemistry,,,Faculty of Science,,,Chemistry;Chemistry
Area Compulsory modules Geography,,,Faculty of Science,,,General Geography;Geographic Information Science and Systems;Remote Sensing;Human Geography;Physical Geography;General Geography
Area Compulsory modules Mathematics,,,Faculty of Science,,,Mathematics;Mathematics
Area Elective modules Mathematics,,,Faculty of Science,,,Mathematics;Mathematics
Partial Area Lectures Mathematics,,,Faculty of Science,,,Elective modules Mathematics
Partial Area Seminars Mathematics,,,Faculty of Science,,,Elective modules Mathematics
Area Compulsory modules Biomedicine,,,Faculty of Science,,,Biomedicine;Biomedicine
Area Compulsory modules Chemistry and Business Studies,,,Faculty of Science,,,Chemistry and Business Studies;Chemistry and Business Studies
"Area Core elective modules Faculty of Science, Chemistry and Business Studies",,,Faculty of Science,,,Chemistry and Business Studies;Chemistry and Business Studies
"Area Suggestions for elective modules, Chemistry and Business Studies",,,Faculty of Science,,,Chemistry and Business Studies;Chemistry and Business Studies
Partial Subject Condensed Matter Physics,,,Faculty of Science,,,Physics;Physics (Fast Track);Physics;Physics (Fast Track)
Partial Subject Astro(particle) physics and Cosmology,,,Faculty of Science,,,Physics;Physics (Fast Track);Physics;Physics (Fast Track)
Area Compulsory modules Elementary particle physics,,,Faculty of Science,,,Elementary Particle Physics
Area Core elective modules Elementary particle physics,,,Faculty of Science,,,Elementary Particle Physics
